source	line	reference	exists_worktree	tracked_main	tracked_lc1	classification	exists_canonical
AGENTS.md	3	/mnt/Shared/HOUSE_RULES.md	True	False	False	absolute-external	True
AGENTS.md	20	/mnt/Shared/APA_SP_Prior_Art_Comparison_2026-09-06.md	True	False	False	absolute-external	True
config/grm_demand_registered.json	3	orders/GRM_SC1_DEMAND_LOOP_NGH.md	True	False	True	tracked-new-in-lc1	True
config/grm_demand_registered.json	11	artifacts/grm_det1/run_20260831T160525Z_2/det1_4/campaign/calibration/thresholds_2149a44b6136fd1b.json	False	False	False	untracked-or-dynamic	True
config/grm_demand_registered.json	13	artifacts/grm_det1/run_20260831T160525Z_2/det1_4/campaign/analysis/analysis_receipt_89bcd331ae7f9ef4.json	False	False	False	untracked-or-dynamic	True
config/grm_demand_registered.json	34	orders/GRM_SC2_CALIBRATION_EARLY_ABORT.md	True	False	True	tracked-new-in-lc1	True
config/grm_demand_registered.json	43	orders/GRM_SC2_CALIBRATION_EARLY_ABORT.md	True	False	True	tracked-new-in-lc1	True
config/grm_demand_registered.json	45	artifacts/grm_sc2/registration.json	False	False	False	untracked-or-dynamic	True
config/grm_demand_registered.json	46	artifacts/grm_sc2/sc2_calibration_2a04614226c6287b.json	False	False	False	untracked-or-dynamic	True
config/grm_demand_registered.json	48	scripts/grm_det1_common.py::fit_thresholds	False	False	False	untracked-or-dynamic	False
config/grm_live_registered_baselines.json	6	artifacts/grm_adm2/default_on_20260831T154804440365Z_61064/gate_result.json	False	False	False	untracked-or-dynamic	True
config/grm_live_registered_baselines.json	31	artifacts/grm_adm2/default_on_20260831T154804440365Z_61064/e2e_default/session/probe_scorecard.json	False	False	False	untracked-or-dynamic	True
config/grm_live_registered_baselines.json	36	artifacts/grm_adm2/default_on_20260831T154804440365Z_61064/e2e_default/stage_complete.json	False	False	False	untracked-or-dynamic	True
config/grm_live_registered_baselines.json	53	tests/fixtures/supersession_battery/correction_then_restatement.json	True	True	True	tracked-both	True
config/grm_live_registered_baselines.json	58	tests/fixtures/supersession_battery/fresh_fact_controls.json	True	True	True	tracked-both	True
config/grm_live_registered_baselines.json	63	tests/fixtures/supersession_battery/multi_hop_a_b_c.json	True	True	True	tracked-both	True
config/grm_live_registered_baselines.json	68	tests/fixtures/supersession_battery/short_correction_long_competitor.json	True	True	True	tracked-both	True
config/grm_live_registered_baselines.json	80	artifacts/grm_adm2/default_on_20260831T154804440365Z_61064/supersession_default/battery.jsonl	False	False	False	untracked-or-dynamic	True
config/grm_live_registered_baselines.json	85	artifacts/grm_adm2/default_on_20260831T154804440365Z_61064/supersession_default/stage_complete.json	False	False	False	untracked-or-dynamic	True
config/grm_live_registered_baselines.json	108	tests/fixtures/supersession_battery/correction_then_restatement.json	True	True	True	tracked-both	True
config/grm_live_registered_baselines.json	113	tests/fixtures/supersession_battery/fresh_fact_controls.json	True	True	True	tracked-both	True
config/grm_live_registered_baselines.json	118	tests/fixtures/supersession_battery/multi_hop_a_b_c.json	True	True	True	tracked-both	True
config/grm_live_registered_baselines.json	123	tests/fixtures/supersession_battery/short_correction_long_competitor.json	True	True	True	tracked-both	True
config/grm_live_registered_baselines.json	134	artifacts/grm_supersession/l2_default_on_20260830T165648866160Z_4123111/default_on.jsonl	False	False	False	untracked-or-dynamic	True
config/grm_live_registered_baselines.json	141	artifacts/grm_supersession/l2_default_on_20260830T165648866160Z_4123111/gate_result.json	False	False	False	untracked-or-dynamic	True
core/gpt_oss20b_tc.py	1176	core/graft_arena.py	True	True	True	tracked-both	True
core/gpt_oss20b_tc.py	1178	core/qwen3_tc.py	True	True	True	tracked-both	True
core/gpt_oss20b_tc.py	1180	docs/GRM_E2E_RECEIPT_LEDGER.md	True	True	True	tracked-both	True
core/gpt_oss20b_tc.py	1181	scripts/gpt_oss20b_stream_forward_smoke.py	True	True	True	tracked-both	True
core/gpt_oss20b_tc.py	1338	/home/vader/.cache/huggingface/hub/models--openai--gpt-oss-20b/	True	False	False	absolute-external	True
core/graft_arena.py	321	docs/GRM_MLA_CUDA_ROUTE_PLAN.md	True	True	True	tracked-both	True
core/graft_arena.py	751	docs/GRM_Methodology.md	True	True	True	tracked-both	True
core/graft_arena.py	1461	docs/GRM_MLA_CUDA_ROUTE_PLAN.md	True	True	True	tracked-both	True
core/graft_arena.py	1497	docs/GRM_MLA_CUDA_ROUTE_PLAN.md	True	True	True	tracked-both	True
core/graft_arena.py	2483	tests/test_grm_eb1_ephemeral_frame.py	True	False	True	tracked-new-in-lc1	True
core/graft_arena.py	2509	core/minicpm3_tc.py	True	True	True	tracked-both	True
core/graft_arena.py	3219	artifacts/grm_rt1/grm_rt1_diagnosis.json	False	False	False	untracked-or-dynamic	True
core/graft_repository.py	58	docs/GRM_IMPORTANCE_PLAN.md	True	True	True	tracked-both	True
core/graft_repository.py	1225	tests/test_grm_importance_salience.py	True	True	True	tracked-both	True
core/grm_admission.py	126	artifacts/grm_rt1/grm_rt1_diagnosis.json	False	False	False	untracked-or-dynamic	True
core/grm_admission.py	532	artifacts/lsr_p1/	False	False	False	untracked-or-dynamic	True
core/grm_admission.py	743	artifacts/lsr_p2c/	False	False	False	untracked-or-dynamic	True
core/grm_admission.py	798	core/grm_three_pass.py	True	True	True	tracked-both	True
core/grm_demand.py	3	orders/GRM_SC1_DEMAND_LOOP_NGH.md	True	False	True	tracked-new-in-lc1	True
core/grm_demand.py	9	scripts/grm_det1_common.DetectorObserver	False	False	False	untracked-or-dynamic	False
core/grm_demand.py	24	config/grm_demand_registered.json	True	False	True	tracked-new-in-lc1	True
core/grm_demand.py	119	core/direction	False	False	False	untracked-or-dynamic	False
core/grm_demand.py	279	scripts/grm_det1_common.DetectorObserver	False	False	False	untracked-or-dynamic	False
core/grm_demand.py	613	core/grm_three_pass	False	False	False	untracked-or-dynamic	False
core/grm_text_norm.py	5	scripts/grm_det1_common.py::normalize_value_text	False	False	False	untracked-or-dynamic	False
core/qwen38_tc.py	35	/mnt/ForgeRealm/models/Qwen3.8-27B	True	False	False	absolute-external	True
core/qwen38_tc.py	36	artifacts/qwen38_int3_cache	False	False	False	untracked-or-dynamic	True
core/qwen38_tc.py	1452	core/accumulator	False	False	False	untracked-or-dynamic	False
docs/GLC_LONG_CONTEXT_PLAN.md	12	artifacts/moe_e1_3b/runs/	False	False	False	untracked-or-dynamic	True
docs/GLC_LONG_CONTEXT_PLAN.md	13	artifacts/moe_e1_4/runs_e14/fg0/	False	False	False	untracked-or-dynamic	True
docs/GRM_E2E_RECEIPT_LEDGER.md	4	docs/GRM_E2E_RECEIPT_PLAN.md	True	True	True	tracked-both	True
docs/GRM_E2E_RECEIPT_LEDGER.md	5	docs/GPT_OSS_20B_APA_GRM_SYNTHESIS.md	True	True	True	tracked-both	True
docs/GRM_E2E_RECEIPT_LEDGER.md	29	artifacts/grm_e2e/P0_COMPOSITION_MAP.md	True	True	True	tracked-both	True
docs/GRM_E2E_RECEIPT_LEDGER.md	52	scripts/grm_e2e_session.py	True	True	True	tracked-both	True
docs/GRM_E2E_RECEIPT_LEDGER.md	71	core/gpt_oss20b_tc.py	True	True	True	tracked-both	True
docs/GRM_E2E_RECEIPT_LEDGER.md	176	artifacts/grm_e2e/seam1_diag_current_20260708_150642/	True	False	False	untracked-or-dynamic	True
docs/GRM_E2E_RECEIPT_LEDGER.md	209	artifacts/grm_e2e/smoke_session_20260708_154313/	True	False	False	untracked-or-dynamic	True
docs/GRM_E2E_RECEIPT_LEDGER.md	239	artifacts/grm_e2e/step_generate_mech_diag_20260708_155956/	True	False	False	untracked-or-dynamic	True
docs/GRM_E2E_RECEIPT_LEDGER.md	269	core/graft_arena.py:77	False	False	False	untracked-or-dynamic	False
docs/GRM_E2E_RECEIPT_LEDGER.md	269	core/gpt_oss20b_tc.py:686-691	False	False	False	untracked-or-dynamic	False
docs/GRM_E2E_RECEIPT_LEDGER.md	373	core/graft_arena.py	True	True	True	tracked-both	True
docs/GRM_E2E_RECEIPT_LEDGER.md	383	artifacts/grm_e2e/smoke_session_query_lex_20260708_174252	True	False	False	untracked-or-dynamic	True
docs/GRM_E2E_RECEIPT_LEDGER.md	393	artifacts/grm_e2e/full_session_20260708_P2	True	False	False	untracked-or-dynamic	True
docs/GRM_E2E_RECEIPT_LEDGER.md	399	artifacts/grm_e2e/full_session_20260708_P2	True	False	False	untracked-or-dynamic	True
docs/GRM_E2E_RECEIPT_LEDGER.md	443	scripts/grm_e2e_session.py	True	True	True	tracked-both	True
docs/GRM_E2E_RECEIPT_LEDGER.md	450	../artifacts/grm_det1/run_20260831T160525Z_2/det1_3/comparisons/compare_result.json	False	False	False	untracked-or-dynamic	True
docs/GRM_E2E_RECEIPT_LEDGER.md	450	../artifacts/grm_det1/run_20260831T160525Z_2/det1_3/answers/lived/attempt_001/answer_receipt.json	False	False	False	untracked-or-dynamic	True
docs/GRM_E2E_RECEIPT_LEDGER.md	450	../artifacts/grm_det1/run_20260831T160525Z_2/det1_3/answers/replay/attempt_001/answer_receipt.json	False	False	False	untracked-or-dynamic	True
docs/GRM_E2E_RECEIPT_LEDGER.md	450	../orders/GRM_DET1_4_FORK_FROM_SNAPSHOT.md	True	False	True	tracked-new-in-lc1	True
docs/GRM_SCOUT_2026-09-08.md	3	/mnt/ForgeRealm/GraftRepository	True	False	False	absolute-external	True
docs/GRM_SCOUT_2026-09-08.md	7	/mnt/Shared/GRM_Primer_2026-09-02.md	True	False	False	absolute-external	True
docs/GRM_SCOUT_2026-09-08.md	7	../core/graft_arena.py	True	True	True	tracked-both	True
docs/GRM_SCOUT_2026-09-08.md	14	../artifacts/lsr_p2c/lsr_p2c_g2_summary_d5efcb7969279860.json	False	False	False	untracked-or-dynamic	True
docs/GRM_SCOUT_2026-09-08.md	14	../artifacts/lsr_p2c_1/lsr_p2c_1_summary_1b9a0dc534268d64.json	False	False	False	untracked-or-dynamic	True
docs/GRM_SCOUT_2026-09-08.md	15	../artifacts/grm_eb1/grm_eb1_summary.json	False	False	False	untracked-or-dynamic	True
docs/GRM_SCOUT_2026-09-08.md	16	../artifacts/grm_rs3/grm_rs3_results.json	False	False	False	untracked-or-dynamic	True
docs/GRM_SCOUT_2026-09-08.md	16	../artifacts/grm_rs3/grm_rs3_part4.json	False	False	False	untracked-or-dynamic	True
docs/GRM_SCOUT_2026-09-08.md	16	../artifacts/grm_rt1/grm_rt1_g2_results.json	False	False	False	untracked-or-dynamic	True
docs/GRM_SCOUT_2026-09-08.md	17	../artifacts/grm_wc1_opus/grm_wc1_results.json	False	False	False	untracked-or-dynamic	True
docs/GRM_SCOUT_2026-09-08.md	17	/mnt/Shared/Astra_vs_Opus_AB_Receipt_2026-09-05.md	True	False	False	absolute-external	True
docs/GRM_SCOUT_2026-09-08.md	18	../artifacts/grm_sc1_2/results.json	False	False	False	untracked-or-dynamic	True
docs/GRM_SCOUT_2026-09-08.md	18	../artifacts/grm_sc2/sc2_results_13b1d3a5cdea7ae9.json	False	False	False	untracked-or-dynamic	True
docs/GRM_SCOUT_2026-09-08.md	20	../core/grm_frame.py	True	False	True	tracked-new-in-lc1	True
docs/GRM_SCOUT_2026-09-08.md	20	../core/grm_admission.py	True	False	True	tracked-new-in-lc1	True
docs/GRM_SCOUT_2026-09-08.md	20	../config/grm_demand_registered.json	True	False	True	tracked-new-in-lc1	True
docs/GRM_SCOUT_2026-09-08.md	20	/mnt/ForgeRealm/AI_Research_Board.md	True	False	False	absolute-external	True
docs/GRM_SCOUT_2026-09-08.md	25	../artifacts/lsr_p2c/lsr_p2c_g2_summary_d5efcb7969279860.json	False	False	False	untracked-or-dynamic	True
docs/GRM_SCOUT_2026-09-08.md	26	../artifacts/grm_adm2/default_on_20260831T154804440365Z_61064/gate_result.json	False	False	False	untracked-or-dynamic	True
docs/GRM_SCOUT_2026-09-08.md	26	../config/grm_live_registered_baselines.json	True	False	True	tracked-new-in-lc1	True
docs/GRM_SCOUT_2026-09-08.md	28	../artifacts/grm_rs4/grm_rs4_results.json	False	False	False	untracked-or-dynamic	True
docs/GRM_SCOUT_2026-09-08.md	30	../artifacts/moe_e2/MOE_E2_REPORT.md	False	False	False	untracked-or-dynamic	True
docs/GRM_SCOUT_2026-09-08.md	30	../artifacts/moe_e4/MOE_E4_REPORT.md	False	False	False	untracked-or-dynamic	True
docs/GRM_SCOUT_2026-09-08.md	37	../core/grm_demand.py	True	False	True	tracked-new-in-lc1	True
docs/GRM_SCOUT_2026-09-08.md	37	../core/graft_arena.py	True	True	True	tracked-both	True
docs/GRM_SCOUT_2026-09-08.md	37	../core/grm_demand.py	True	False	True	tracked-new-in-lc1	True
docs/GRM_SCOUT_2026-09-08.md	39	../core/grm_admission.py	True	False	True	tracked-new-in-lc1	True
docs/GRM_SCOUT_2026-09-08.md	39	../core/grm_three_pass.py	True	True	True	tracked-both	True
docs/GRM_SCOUT_2026-09-08.md	39	../core/grm_three_pass.py	True	True	True	tracked-both	True
docs/GRM_SCOUT_2026-09-08.md	41	../core/graft_arena.py	True	True	True	tracked-both	True
docs/GRM_SCOUT_2026-09-08.md	41	../core/graft_repository.py	True	True	True	tracked-both	True
docs/GRM_SCOUT_2026-09-08.md	41	../core/graft_repository.py	True	True	True	tracked-both	True
docs/GRM_SCOUT_2026-09-08.md	43	../core/graft_arena.py	True	True	True	tracked-both	True
docs/GRM_SCOUT_2026-09-08.md	43	../core/grm_text_norm.py	True	False	True	tracked-new-in-lc1	True
